cohort_id,covariate_id,mean,sd,database_id
23,4181583212,0.0216,0.147,CMSDESynPUF1k
23,259043212,-0.0057,NA,CMSDESynPUF1k
23,42537893212,0.0239,0.1546,CMSDESynPUF1k
23,4279139212,0.0125,0.1119,CMSDESynPUF1k
23,4149547212,0.0068,0.0826,CMSDESynPUF1k
23,4054828212,-0.0057,NA,CMSDESynPUF1k
23,4131278212,-0.0057,NA,CMSDESynPUF1k
23,316084212,-0.0057,NA,CMSDESynPUF1k
23,4307956212,-0.0057,NA,CMSDESynPUF1k
23,435613212,0.0216,0.147,CMSDESynPUF1k
23,4142905212,-0.0057,NA,CMSDESynPUF1k
23,4136498212,-0.0057,NA,CMSDESynPUF1k
23,37312439212,-0.0057,NA,CMSDESynPUF1k
23,4128914212,-0.0057,NA,CMSDESynPUF1k
23,444195212,-0.0057,NA,CMSDESynPUF1k
23,440738212,0.0068,0.0826,CMSDESynPUF1k
23,4176944212,0.017,0.1306,CMSDESynPUF1k
23,432661212,0.0511,0.2263,CMSDESynPUF1k
23,315295212,0.0068,0.0826,CMSDESynPUF1k
23,4134597212,-0.0057,NA,CMSDESynPUF1k
23,372328212,-0.0057,NA,CMSDESynPUF1k
23,4170137212,-0.0057,NA,CMSDESynPUF1k
23,4105886212,0.0114,0.1067,CMSDESynPUF1k
23,40304526212,0.0102,0.1012,CMSDESynPUF1k
23,45766526212,-0.0057,NA,CMSDESynPUF1k
23,4175485212,0.0102,0.1012,CMSDESynPUF1k
23,194475212,-0.0057,NA,CMSDESynPUF1k
23,4302836212,0.0091,0.0954,CMSDESynPUF1k
23,4129891212,0.0182,0.1349,CMSDESynPUF1k
23,373769212,0.0307,0.1753,CMSDESynPUF1k
23,432588212,0.0148,0.1216,CMSDESynPUF1k
23,432296212,-0.0057,NA,CMSDESynPUF1k
23,4232181212,-0.0057,NA,CMSDESynPUF1k
23,4198381212,0.008,0.0892,CMSDESynPUF1k
23,4090129212,-0.0057,NA,CMSDESynPUF1k
23,200137212,-0.0057,NA,CMSDESynPUF1k
23,4093960212,-0.0057,NA,CMSDESynPUF1k
23,433435212,0.0227,0.1508,CMSDESynPUF1k
23,73712212,-0.0057,NA,CMSDESynPUF1k
23,439408212,-0.0057,NA,CMSDESynPUF1k
